country_name,country_code,year,electricity_access_pct,access_gap_pct,is_nigeria,gdp_usd,gdp_billion_usd,gdp_growth_rate_pct,gdp_per_capita_usd,energy_use_per_capita
South Africa,ZAF,2005,80.8,19.200000000000003,False,288867217196.534,288.867217196534,12.923931094589047,5836.87663325127,2374.43550245537
South Africa,ZAF,2006,80.7,19.299999999999997,False,303858675363.643,303.858675363643,5.189740224800032,6077.38293388876,2397.99082240112
South Africa,ZAF,2007,82.0,18.0,False,333077117253.684,333.07711725368404,9.615799797413672,6591.85535960564,2576.78503956652
South Africa,ZAF,2008,81.9,18.099999999999994,False,316131258616.309,316.131258616309,-5.087668218428942,6184.75474328399,2738.08467369962
South Africa,ZAF,2009,82.6,17.400000000000006,False,329754060647.129,329.75406064712905,4.309223355654979,6374.70560042992,2735.00618529644
South Africa,ZAF,2010,82.8,17.200000000000003,False,417363822801.713,417.363822801713,26.568213286791178,7973.47195771517,2518.44190314477
South Africa,ZAF,2011,83.6,16.400000000000006,False,458199494830.834,458.199494830834,9.784190626536816,8646.05571071635,2536.41417638413
South Africa,ZAF,2012,85.2,14.799999999999997,False,434400545085.811,434.40054508581096,-5.194014837098305,8076.97678479741,2394.39798705356
South Africa,ZAF,2013,85.2,14.799999999999997,False,400886013595.573,400.886013595573,-7.715121877579034,7331.65467384919,2341.17923180198
South Africa,ZAF,2014,85.9,14.099999999999994,False,381198869776.106,381.198869776106,-4.910908126450131,6856.73137092522,2438.67891656885
South Africa,ZAF,2015,85.3,14.700000000000003,False,346709790458.563,346.70979045856296,-9.047529269381071,6112.27382485974,2257.19467617813
South Africa,ZAF,2016,83.9,16.099999999999994,False,323585509674.481,323.58550967448105,-6.669635937738438,5651.20585165749,2311.76901865151
South Africa,ZAF,2017,84.4,15.599999999999994,False,381448814653.456,381.448814653456,17.88192092939638,6618.33508255701,2283.45815447669
South Africa,ZAF,2018,84.7,15.299999999999997,False,405260723892.517,405.26072389251703,6.242491344662859,6914.1780318076,2184.87777550689
South Africa,ZAF,2019,85.0,15.0,False,389330032224.269,389.33003222426896,-3.930973501511381,6533.71121032856,2231.91074710296
South Africa,ZAF,2020,90.0,10.0,False,337974655408.055,337.974655408055,-13.190705202682985,5580.60383075189,2037.46194166103
South Africa,ZAF,2021,89.3,10.700000000000003,False,419986284375.368,419.986284375368,24.265615085337068,6828.75624590017,2124.62297436572
South Africa,ZAF,2022,86.5,13.5,False,407596043067.885,407.59604306788503,-2.950153795119903,6534.24867783397,1938.30644693274
